project_id,commit_id,commit_date,method_name,change_type,effect_size,effect_size_interpretation,refactorings,median_change_percentage,github_commit_url
fastjson2,5e7a0d532aa8834aee4ce9094e31acce7510225b,1669273046,public Number com.alibaba.fastjson2.JSONReader.getNumber(),unchanged,0.046456909,negligible,Extract Variable,-8.298572997,https://github.com/alibaba/fastjson2/commit/5e7a0d532aa8834aee4ce9094e31acce7510225b
fastjson2,e188f0215667a88fdb278f71635d6f426a6b339b,1683559926,"public final Map<String, Object> com.alibaba.fastjson2.JSONReaderJSONB.readObject()",unchanged,0.033380201,negligible,Change Variable Type,-0.185873606,https://github.com/alibaba/fastjson2/commit/e188f0215667a88fdb278f71635d6f426a6b339b
fastjson2,a0be963a48786e5f6a7396b811e1ebea19fae0ab,1709961098,"public boolean com.alibaba.fastjson2.JSONReader.readReference(List list, int i)",regression,-0.932694407,large,Extract Method,238.18298692950503,https://github.com/alibaba/fastjson2/commit/a0be963a48786e5f6a7396b811e1ebea19fae0ab
fastjson2,d6f623b900fc10847f381c80cc09f08ad40246d0,1670161837,public ObjectReader com.alibaba.fastjson2.codec.FieldInfo.getInitReader(),unchanged,-0.058951191,negligible,Extract Variable,2.1904202598419515,https://github.com/alibaba/fastjson2/commit/d6f623b900fc10847f381c80cc09f08ad40246d0
fastjson2,d6f623b900fc10847f381c80cc09f08ad40246d0,1670161837,"protected <T> FieldReader[] com.alibaba.fastjson2.reader.ObjectReaderCreator.createFieldReaders( Class<T> objectClass, Type objectType, BeanInfo beanInfo, boolean fieldBased, ObjectReaderProvider provider )",unchanged,-0.030864198,negligible,Add Parameter,-5.852409158,https://github.com/alibaba/fastjson2/commit/d6f623b900fc10847f381c80cc09f08ad40246d0
fastjson2,d6f623b900fc10847f381c80cc09f08ad40246d0,1670161837,"public ObjectWriter com.alibaba.fastjson2.writer.ObjectWriterCreatorASM.createObjectWriter( Class objectClass, long features, ObjectWriterProvider provider )",improvement,0.1797499799325065,small,Extract Variable + Change Variable Type + Inline Variable,-1.785043217,https://github.com/alibaba/fastjson2/commit/d6f623b900fc10847f381c80cc09f08ad40246d0
fastjson2,a99ea88b804006c1f5fe7aa381f59025c2ee1acf,1689486231,public void com.alibaba.fastjson2.JSONWriterJSONB.writeInt32(int val),unchanged,0.0242656449553001,negligible,Inline Method,-17.00028797,https://github.com/alibaba/fastjson2/commit/a99ea88b804006c1f5fe7aa381f59025c2ee1acf
fastjson2,bb52a519200653e851c584138d230149e35ae64d,1658072352,public void com.alibaba.fastjson2.JSONWriterJSONB.writeString(String str),unchanged,-0.077435764,negligible,Extract Variable,-10.61249242,https://github.com/alibaba/fastjson2/commit/bb52a519200653e851c584138d230149e35ae64d
fastjson2,127031c13d708ef9991e6675075ed91593467f86,1668196235,"public void com.alibaba.fastjson2.util.JdbcSupport.write(JSONWriter jsonWriter, Object object, Object fieldName, Type fieldType, long features)",unchanged,0.043876694,negligible,Extract Variable,-1.022012579,https://github.com/alibaba/fastjson2/commit/127031c13d708ef9991e6675075ed91593467f86
fastjson2,f3a464699e22ebc1523c0247db312564c1de00bc,1683418134,public final void com.alibaba.fastjson2.JSONWriterUTF16.writeOffsetDateTime(OffsetDateTime dateTime),unchanged,0.099573797,negligible,Extract Variable,-0.865693792,https://github.com/alibaba/fastjson2/commit/f3a464699e22ebc1523c0247db312564c1de00bc
